,action,boro,building,camis,critical_flag,cuisine_description,dba,grade,grade_date,inspection_date,inspection_type,phone,record_date,score,street,violation_code,violation_description,zipcode,address
0,Violations were cited in the following area(s).,BRONX,1007,30075445,Critical,Bakery,MORRIS PARK BAKE SHOP,A,2017-05-18T00:00:00,2017-05-18T00:00:00,Cycle Inspection / Initial Inspection,7188924968,2018-01-31T06:00:53,7.0,MORRIS PARK AVE,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",10462,"1007 MORRIS PARK AVE BRONX, NY 10462"
1,Violations were cited in the following area(s).,BRONX,1007,30075445,Not Critical,Bakery,MORRIS PARK BAKE SHOP,A,2017-05-18T00:00:00,2017-05-18T00:00:00,Cycle Inspection / Initial Inspection,7188924968,2018-01-31T06:00:53,7.0,MORRIS PARK AVE,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10462,"1007 MORRIS PARK AVE BRONX, NY 10462"
5,Violations were cited in the following area(s).,BROOKLYN,469,30112340,Critical,Hamburgers,WENDY'S,A,2017-10-06T00:00:00,2017-10-06T00:00:00,Cycle Inspection / Re-inspection,7182875005,2018-01-31T06:00:53,10.0,FLATBUSH AVENUE,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",11225,"469 FLATBUSH AVENUE BROOKLYN, NY 11225"
6,Violations were cited in the following area(s).,BROOKLYN,469,30112340,Not Critical,Hamburgers,WENDY'S,A,2017-10-06T00:00:00,2017-10-06T00:00:00,Cycle Inspection / Re-inspection,7182875005,2018-01-31T06:00:53,10.0,FLATBUSH AVENUE,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",11225,"469 FLATBUSH AVENUE BROOKLYN, NY 11225"
29,Violations were cited in the following area(s).,MANHATTAN,351,30191841,Critical,Irish,DJ REYNOLDS PUB AND RESTAURANT,A,2017-12-14T00:00:00,2017-12-14T00:00:00,Cycle Inspection / Re-inspection,2122452912,2018-01-31T06:00:53,10.0,WEST   57 STREET,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",10019,"351 WEST   57 STREET MANHATTAN, NY 10019"
30,Violations were cited in the following area(s).,MANHATTAN,351,30191841,Not Critical,Irish,DJ REYNOLDS PUB AND RESTAURANT,A,2017-12-14T00:00:00,2017-12-14T00:00:00,Cycle Inspection / Re-inspection,2122452912,2018-01-31T06:00:53,10.0,WEST   57 STREET,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10019,"351 WEST   57 STREET MANHATTAN, NY 10019"
40,Violations were cited in the following area(s).,BROOKLYN,2780,40356018,Critical,American,RIVIERA CATERERS,A,2017-07-20T00:00:00,2017-07-20T00:00:00,Cycle Inspection / Initial Inspection,7183723031,2018-01-31T06:00:53,13.0,STILLWELL AVENUE,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",11224,"2780 STILLWELL AVENUE BROOKLYN, NY 11224"
41,Violations were cited in the following area(s).,BROOKLYN,2780,40356018,Not Critical,American,RIVIERA CATERERS,A,2017-07-20T00:00:00,2017-07-20T00:00:00,Cycle Inspection / Initial Inspection,7183723031,2018-01-31T06:00:53,13.0,STILLWELL AVENUE,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,11224,"2780 STILLWELL AVENUE BROOKLYN, NY 11224"
42,Violations were cited in the following area(s).,BROOKLYN,2780,40356018,Not Critical,American,RIVIERA CATERERS,A,2017-07-20T00:00:00,2017-07-20T00:00:00,Cycle Inspection / Initial Inspection,7183723031,2018-01-31T06:00:53,13.0,STILLWELL AVENUE,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",11224,"2780 STILLWELL AVENUE BROOKLYN, NY 11224"
48,Violations were cited in the following area(s).,QUEENS,8825,40356151,Critical,American,BRUNOS ON THE BOULEVARD,A,2017-08-19T00:00:00,2017-08-19T00:00:00,Cycle Inspection / Initial Inspection,7183350505,2018-01-31T06:00:53,10.0,ASTORIA BOULEVARD,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",11369,"8825 ASTORIA BOULEVARD QUEENS, NY 11369"
